site_id,site_label,Site,SiteID,Bigregion,Region,Subregion,Subarea,NOfLevels,WhichLevel,ProcessWith,SiteWeight,SiteType,SiteGroup,SitePeriod,tlkp Period.Order,SitePhase,tlkp Phase.Order,BeginSite,EndSite,Latitude,Longitude,TotalArea,WindowArea,WindowHH,MinHH,MaxHH,PopMethod,Popmethdesc,IsFortified,FortificationComment,TypeOfPolity,Politytypdesc,PolityPop,PolityArea,PolityEcon,PolityGov,PolityArch,GiniIndex,GiniBasis,Ref1,Ref2,Coder,tbl sites.Comments,tbl sites.created_at,tbl sites.updated_at,house_id,StructureID,source_file,Housetypedesc,HouseType,HouseGroup,HousePeriod,tlkp Period_1.Order,HousePhase,tlkp Phase_1.Order,BeginHouse,EndHouse,NRooms,NStories,RoofedArea,LivingArea,UnroofedArea,StorageArea,StorageVolume,TotalAreaHouse,AnimalArea,LaborMultiplier,DistanceToCenter,TypeOfCenter,Accessibility,IsPlowed,qry house table.Comments,MoundHgt,citation1,citation2,qry house table.created_at,qry house table.updated_at,Plant cultivation - earliest,Plant cultivation - common,Animal management - earliest,Animal management - common,Portage - earliest,Portage - common,Riding - earliest,Riding - common,Traction - earliest,Traction - common,Enslavement - earliest,Enslavement - common,Copper (smelted) - earliest,Copper (smelted) - common,Bronze - earliest,Bronze - common,writing,Earliest massacre,weights and measures,earliest marketplaces,Currency,earliest ostentatious individual burials,intra-site public buildings,specialized production of goods,Iron (smelted) - earliest,Iron (smelted) - common,Complex bow - earliest,BeginLocation,EndLocation,OccNext,Landlabor,Twoscale,Threescale,Fourscale
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d6,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,95,95,NA,NA,NA,95,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House f,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,125,125,NA,NA,NA,125,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d7,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,190,190,NA,NA,NA,190,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d10,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,210,210,NA,NA,NA,210,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d9,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,215,215,NA,NA,NA,215,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,216,216,NA,NA,NA,216,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9998,Uruk (NeoBab),Uruk,9998,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,31.324167,45.637222,200,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House d1,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,216,216,NA,NA,NA,216,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9999,Nippur,Nippur,9999,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,32.126444,45.233381,135,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House C,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,90,90,NA,NA,NA,90,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9999,Nippur,Nippur,9999,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,32.126444,45.233381,135,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House C - NO part,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,165,165,NA,NA,NA,165,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
9999,Nippur,Nippur,9999,Asia,W Asia and Cyprus,Mesopotamia,Southern Mesopotamia,4,4,NA,1,NA,NA,Iron Age,8,Iron Age II,29,-626,-539,32.126444,45.233381,135,NA,NA,NA,NA,NA,NA,1,NA,7,Empire,NA,NA,0,0,0,NA,Households,Squit & Altaweel,NA,Squit & Altaweel,NA,NA,NA,NA,House A,NA,Nuclear family,1,NA,Iron Age,8,Iron Age II,29,-626,-539,NA,NA,235,235,NA,NA,NA,235,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8500,-8000,-8500,-8000,-3500,-3000,-2500,-2000,-8000,-3500,-2000,-1000,-5000,-4000,-3000,-2500,-3400,NA,-3500,NA,NA,NA,NA,NA,-1500,-1000,NA,-1200,-1000,0,NA,NA,NA,NA
